Store,State,City,Date,Type,IsHoliday,Weekly_Sales,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Week,Year,Month,MD Total
1,West Virginia,Charleston,2010-02-05,A,False,1643690.9,151315.0,42.31,2.572,,,,,,211.0963582,8.106,5,2010,2,
1,West Virginia,Charleston,2010-02-12,A,True,1641957.44,151315.0,38.51,2.548,,,,,,211.2421698,8.106,6,2010,2,
1,West Virginia,Charleston,2010-02-19,A,False,1611968.17,151315.0,39.93,2.514,,,,,,211.2891429,8.106,7,2010,2,
1,West Virginia,Charleston,2010-02-26,A,False,1409727.59,151315.0,46.63,2.561,,,,,,211.3196429,8.106,8,2010,2,
1,West Virginia,Charleston,2010-03-05,A,False,1554806.68,151315.0,46.5,2.625,,,,,,211.3501429,8.106,9,2010,3,
1,West Virginia,Charleston,2010-03-12,A,False,1439541.59,151315.0,57.79,2.667,,,,,,211.3806429,8.106,10,2010,3,
1,West Virginia,Charleston,2010-03-19,A,False,1472515.79,151315.0,54.58,2.72,,,,,,211.215635,8.106,11,2010,3,
1,West Virginia,Charleston,2010-03-26,A,False,1404429.92,151315.0,51.45,2.732,,,,,,211.0180424,8.106,12,2010,3,
1,West Virginia,Charleston,2010-04-02,A,False,1594968.28,151315.0,62.27000000000001,2.719,,,,,,210.8204499,7.807999999999999,13,2010,4,
1,West Virginia,Charleston,2010-04-09,A,False,1545418.53,151315.0,65.86,2.77,,,,,,210.6228574,7.808000000000001,14,2010,4,
1,West Virginia,Charleston,2010-04-16,A,False,1466058.28,151315.0,66.32,2.808,,,,,,210.4887,7.808000000000001,15,2010,4,
1,West Virginia,Charleston,2010-04-23,A,False,1391256.12,151315.0,64.84,2.795,,,,,,210.4391228,7.807999999999999,16,2010,4,
1,West Virginia,Charleston,2010-04-30,A,False,1425100.71,151315.0,67.41,2.78,,,,,,210.3895456,7.807999999999999,17,2010,4,
1,West Virginia,Charleston,2010-05-07,A,False,1603955.1199999999,151315.0,72.55,2.835,,,,,,210.3399684,7.807999999999999,18,2010,5,
1,West Virginia,Charleston,2010-05-14,A,False,1494251.5,151315.0,74.78,2.854,,,,,,210.3374261,7.807999999999999,19,2010,5,
1,West Virginia,Charleston,2010-05-21,A,False,1399662.07,151315.0,76.44,2.826,,,,,,210.6170934,7.807999999999999,20,2010,5,
1,West Virginia,Charleston,2010-05-28,A,False,1432069.95,151315.0,80.44,2.759,,,,,,210.8967606,7.807999999999999,21,2010,5,
1,West Virginia,Charleston,2010-06-04,A,False,1615524.71,151315.0,80.69,2.705,,,,,,211.1764278,7.807999999999999,22,2010,6,
1,West Virginia,Charleston,2010-06-11,A,False,1542561.09,151315.0,80.43,2.668,,,,,,211.4560951,7.807999999999999,23,2010,6,
1,West Virginia,Charleston,2010-06-18,A,False,1503284.06,151315.0,84.11,2.637,,,,,,211.4537719,7.807999999999999,24,2010,6,
1,West Virginia,Charleston,2010-06-25,A,False,1422711.6,151315.0,84.34,2.653,,,,,,211.3386526,7.807999999999999,25,2010,6,
1,West Virginia,Charleston,2010-07-02,A,False,1492418.1400000001,151315.0,80.91,2.669,,,,,,211.2235333,7.787,26,2010,7,
1,West Virginia,Charleston,2010-07-09,A,False,1546074.18,151315.0,80.48,2.642,,,,,,211.108414,7.786999999999999,27,2010,7,
1,West Virginia,Charleston,2010-07-16,A,False,1448938.92,151315.0,83.15,2.623,,,,,,211.1003854,7.787000000000001,28,2010,7,
1,West Virginia,Charleston,2010-07-23,A,False,1385065.2,151315.0,83.36,2.608,,,,,,211.2351443,7.787,29,2010,7,
1,West Virginia,Charleston,2010-07-30,A,False,1371986.6,151315.0,81.84,2.64,,,,,,211.3699032,7.787,30,2010,7,
1,West Virginia,Charleston,2010-08-06,A,False,1605491.78,151315.0,87.16,2.627,,,,,,211.5046621,7.787000000000001,31,2010,8,
1,West Virginia,Charleston,2010-08-13,A,False,1508237.76,151315.0,87.0,2.692,,,,,,211.6394211,7.786999999999999,32,2010,8,
1,West Virginia,Charleston,2010-08-20,A,False,1513080.49,151315.0,86.65,2.664,,,,,,211.6033633,7.787,33,2010,8,
1,West Virginia,Charleston,2010-08-27,A,False,1449142.92,151315.0,85.22,2.619,,,,,,211.5673056,7.787000000000001,34,2010,8,
1,West Virginia,Charleston,2010-09-03,A,False,1540163.53,151315.0,81.21,2.577,,,,,,211.5312479,7.787,35,2010,9,
1,West Virginia,Charleston,2010-09-10,A,True,1507460.69,151315.0,78.69,2.565,,,,,,211.4951902,7.787,36,2010,9,
1,West Virginia,Charleston,2010-09-17,A,False,1430378.67,151315.0,82.11,2.582,,,,,,211.5224596,7.787,37,2010,9,
1,West Virginia,Charleston,2010-09-24,A,False,1351791.03,151315.0,80.94,2.624,,,,,,211.5972246,7.786999999999999,38,2010,9,
1,West Virginia,Charleston,2010-10-01,A,False,1453329.5,151315.0,71.89,2.603,,,,,,211.6719895,7.838,39,2010,10,
1,West Virginia,Charleston,2010-10-08,A,False,1508239.93,151315.0,63.93000000000001,2.633,,,,,,211.7467544,7.838,40,2010,10,
1,West Virginia,Charleston,2010-10-15,A,False,1459409.1,151315.0,67.18,2.72,,,,,,211.8137436,7.838,41,2010,10,
1,West Virginia,Charleston,2010-10-22,A,False,1345454.0,151315.0,69.86,2.725,,,,,,211.8612937,7.838,42,2010,10,
1,West Virginia,Charleston,2010-10-29,A,False,1384209.22,151315.0,69.64,2.716,,,,,,211.9088438,7.838,43,2010,10,
1,West Virginia,Charleston,2010-11-05,A,False,1551659.28,151315.0,58.739999999999995,2.689,,,,,,211.9563939,7.838,44,2010,11,
1,West Virginia,Charleston,2010-11-12,A,False,1494479.49,151315.0,59.61,2.728,,,,,,212.003944,7.838,45,2010,11,
1,West Virginia,Charleston,2010-11-19,A,False,1483784.18,151315.0,51.41,2.771,,,,,,211.8896737,7.838,46,2010,11,
1,West Virginia,Charleston,2010-11-26,A,True,1955624.11,151315.0,64.52,2.735,,,,,,211.7484333,7.838,47,2010,11,
1,West Virginia,Charleston,2010-12-03,A,False,1548033.78,151315.0,49.27,2.708,,,,,,211.607193,7.838000000000001,48,2010,12,
1,West Virginia,Charleston,2010-12-10,A,False,1682614.26,151315.0,46.33,2.843,,,,,,211.4659526,7.838000000000001,49,2010,12,
1,West Virginia,Charleston,2010-12-17,A,False,1891034.93,151315.0,49.84,2.869,,,,,,211.4053124,7.838,50,2010,12,
1,West Virginia,Charleston,2010-12-24,A,False,2387950.2,151315.0,52.33,2.886,,,,,,211.4051222,7.838,51,2010,12,
1,West Virginia,Charleston,2010-12-31,A,True,1367320.01,151315.0,48.43,2.943,,,,,,211.4049321,7.838000000000001,52,2010,12,
1,West Virginia,Charleston,2011-01-07,A,False,1444732.28,151315.0,48.27,2.976,,,,,,211.4047419,7.742,1,2011,1,
1,West Virginia,Charleston,2011-01-14,A,False,1391013.96,151315.0,35.4,2.983,,,,,,211.4574109,7.742,2,2011,1,
1,West Virginia,Charleston,2011-01-21,A,False,1327405.42,151315.0,44.04,3.016,,,,,,211.8272343,7.742,3,2011,1,
1,West Virginia,Charleston,2011-01-28,A,False,1316899.31,151315.0,43.83,3.01,,,,,,212.1970577,7.742,4,2011,1,
1,West Virginia,Charleston,2011-02-04,A,False,1606629.58,151315.0,42.27,2.989,,,,,,212.5668812,7.742,5,2011,2,
1,West Virginia,Charleston,2011-02-11,A,True,1649614.93,151315.0,36.39,3.022,,,,,,212.9367046,7.742,6,2011,2,
1,West Virginia,Charleston,2011-02-18,A,False,1686842.78,151315.0,57.36,3.045,,,,,,213.2478853,7.742,7,2011,2,
1,West Virginia,Charleston,2011-02-25,A,False,1456800.28,151315.0,62.900000000000006,3.065,,,,,,213.535609,7.742,8,2011,2,
1,West Virginia,Charleston,2011-03-04,A,False,1636263.41,151315.0,59.580000000000005,3.288,,,,,,213.8233327,7.742000000000001,9,2011,3,
1,West Virginia,Charleston,2011-03-11,A,False,1553191.63,151315.0,53.56,3.459,,,,,,214.1110564,7.742,10,2011,3,
1,West Virginia,Charleston,2011-03-18,A,False,1576818.06,151315.0,62.760000000000005,3.488,,,,,,214.3627114,7.742,11,2011,3,
1,West Virginia,Charleston,2011-03-25,A,False,1541102.3800000001,151315.0,69.97,3.473,,,,,,214.5999389,7.742,12,2011,3,
1,West Virginia,Charleston,2011-04-01,A,False,1495064.75,151315.0,59.169999999999995,3.524,,,,,,214.8371664,7.682,13,2011,4,
1,West Virginia,Charleston,2011-04-08,A,False,1614259.35,151315.0,67.84,3.622,,,,,,215.0743939,7.682,14,2011,4,
1,West Virginia,Charleston,2011-04-15,A,False,1559889.0,151315.0,71.27,3.743,,,,,,215.2918561,7.682,15,2011,4,
1,West Virginia,Charleston,2011-04-22,A,False,1564819.81,151315.0,72.99,3.807,,,,,,215.4599053,7.682,16,2011,4,
1,West Virginia,Charleston,2011-04-29,A,False,1455090.69,151315.0,72.03,3.81,,,,,,215.6279544,7.682,17,2011,4,
1,West Virginia,Charleston,2011-05-06,A,False,1629391.28,151315.0,64.61,3.906,,,,,,215.7960035,7.682,18,2011,5,
1,West Virginia,Charleston,2011-05-13,A,False,1604775.58,151315.0,75.64,3.899,,,,,,215.9640526,7.682,19,2011,5,
1,West Virginia,Charleston,2011-05-20,A,False,1428218.27,151315.0,67.63,3.9069999999999996,,,,,,215.7339202,7.682,20,2011,5,
1,West Virginia,Charleston,2011-05-27,A,False,1466046.67,151315.0,77.72,3.7859999999999996,,,,,,215.5037878,7.682,21,2011,5,
1,West Virginia,Charleston,2011-06-03,A,False,1635078.41,151315.0,83.0,3.6990000000000003,,,,,,215.2736553,7.682,22,2011,6,
1,West Virginia,Charleston,2011-06-10,A,False,1588948.32,151315.0,83.13,3.6479999999999997,,,,,,215.0435229,7.682,23,2011,6,
1,West Virginia,Charleston,2011-06-17,A,False,1532114.86,151315.0,86.41,3.6369999999999996,,,,,,214.9980596,7.682,24,2011,6,
1,West Virginia,Charleston,2011-06-24,A,False,1438830.15,151315.0,83.58,3.594,,,,,,215.0910982,7.682,25,2011,6,
1,West Virginia,Charleston,2011-07-01,A,False,1488538.09,151315.0,85.55,3.524,,,,,,215.1841368,7.961999999999999,26,2011,7,
1,West Virginia,Charleston,2011-07-08,A,False,1534849.64,151315.0,85.83,3.48,,,,,,215.2771754,7.962000000000001,27,2011,7,
1,West Virginia,Charleston,2011-07-15,A,False,1455119.97,151315.0,88.54,3.575,,,,,,215.3611087,7.962000000000001,28,2011,7,
1,West Virginia,Charleston,2011-07-22,A,False,1396926.82,151315.0,85.77,3.651,,,,,,215.4222784,7.961999999999999,29,2011,7,
1,West Virginia,Charleston,2011-07-29,A,False,1352219.79,151315.0,86.83,3.682,,,,,,215.4834482,7.961999999999999,30,2011,7,
1,West Virginia,Charleston,2011-08-05,A,False,1624383.75,151315.0,91.65,3.684,,,,,,215.544618,7.962000000000001,31,2011,8,
1,West Virginia,Charleston,2011-08-12,A,False,1525147.09,151315.0,90.76,3.638,,,,,,215.6057878,7.962000000000001,32,2011,8,
1,West Virginia,Charleston,2011-08-19,A,False,1530761.43,151315.0,89.94,3.554,,,,,,215.6693107,7.962,33,2011,8,
1,West Virginia,Charleston,2011-08-26,A,False,1464693.46,151315.0,87.96,3.523,,,,,,215.7332258,7.962,34,2011,8,
1,West Virginia,Charleston,2011-09-02,A,False,1550229.22,151315.0,87.83,3.533,,,,,,215.7971409,7.962,35,2011,9,
1,West Virginia,Charleston,2011-09-09,A,True,1540471.24,151315.0,76.0,3.546,,,,,,215.861056,7.962,36,2011,9,
1,West Virginia,Charleston,2011-09-16,A,False,1514259.78,151315.0,79.94,3.526,,,,,,216.0410526,7.962000000000001,37,2011,9,
1,West Virginia,Charleston,2011-09-23,A,False,1380020.27,151315.0,75.8,3.467,,,,,,216.3758246,7.962,38,2011,9,
1,West Virginia,Charleston,2011-09-30,A,False,1394561.83,151315.0,79.69,3.355,,,,,,216.7105965,7.962,39,2011,9,
1,West Virginia,Charleston,2011-10-07,A,False,1630989.95,151315.0,69.31,3.285,,,,,,217.0453684,7.866,40,2011,10,
1,West Virginia,Charleston,2011-10-14,A,False,1493525.93,151315.0,71.74,3.274,,,,,,217.3552733,7.866,41,2011,10,
